timestamp,step,x,y,heading,action,reason,change_score,median_flow_px,tracked_points,collision,pang_visible,pang_score,teleport_suspected,fast_heading,fast_heading_confidence,fast_heading_stale
2026-07-25T12:30:23.109+00:00,1,1,0,0,FORWARD,unknown neighbor,0.21412,76.179,136,False,False,0.7745,False,0.0,0.965,False
2026-07-25T12:30:24.490+00:00,2,1,0,3,TURN_RIGHT,frontier path (about-face),0.1143,121.339,117,False,False,0.749,False,52.016,0.938,False
2026-07-25T12:30:25.767+00:00,3,1,0,2,TURN_RIGHT,frontier path,0.12261,117.877,103,False,False,0.4866,False,131.13,0.876,False
2026-07-25T12:30:26.182+00:00,4,0,0,2,FORWARD,frontier path,0.06574,33.536,187,False,False,0.816,False,161.532,0.876,False
2026-07-25T12:30:27.651+00:00,5,0,0,1,TURN_RIGHT,frontier path (about-face),0.11568,80.517,129,False,False,0.7511,False,217.661,0.879,False
2026-07-25T12:30:29.194+00:00,6,0,0,0,TURN_RIGHT,frontier path,0.15035,46.919,124,False,False,0.7813,False,307.4,0.877,False
2026-07-25T12:30:29.622+00:00,7,1,0,0,FORWARD,frontier path,0.13724,68.145,222,False,False,0.7527,False,344.927,0.862,False
2026-07-25T12:30:31.157+00:00,8,1,0,3,TURN_RIGHT,frontier path (about-face),0.09686,105.496,153,False,True,0.9197,False,344.927,0.672,True
2026-07-25T12:30:32.647+00:00,9,1,0,2,TURN_RIGHT,frontier path,0.12386,88.722,109,False,False,0.6861,False,128.225,0.776,False
2026-07-25T12:30:33.037+00:00,10,0,0,2,FORWARD,frontier path,0.07153,34.462,163,False,False,0.7812,False,165.795,0.806,False
2026-07-25T12:30:34.417+00:00,11,0,0,1,TURN_RIGHT,frontier path (about-face),0.12254,88.716,137,False,False,0.81,False,212.401,0.819,False
2026-07-25T12:30:35.698+00:00,12,0,0,0,TURN_RIGHT,frontier path,0.12402,72.102,162,False,True,0.864,False,293.856,0.877,False
2026-07-25T12:30:36.105+00:00,13,1,0,0,FORWARD,frontier path,0.10589,67.714,226,False,True,0.8609,False,323.715,0.875,False
2026-07-25T12:30:37.455+00:00,14,1,0,3,TURN_RIGHT,frontier path (about-face),0.08837,108.536,156,False,True,0.9263,False,21.113,0.866,False
2026-07-25T12:30:38.834+00:00,15,1,0,2,TURN_RIGHT,frontier path,0.11296,63.964,135,False,True,0.9045,False,110.916,0.867,False
2026-07-25T12:30:39.255+00:00,16,0,0,2,FORWARD,frontier path,0.08127,24.624,169,False,False,0.4003,False,143.028,0.907,False
2026-07-25T12:30:40.656+00:00,17,0,0,1,TURN_RIGHT,frontier path (about-face),0.11201,89.016,120,False,False,0.4925,False,195.327,0.895,False
2026-07-25T12:30:41.913+00:00,18,0,0,0,TURN_RIGHT,frontier path,0.12005,109.455,137,False,False,0.4323,False,273.025,0.86,False
2026-07-25T12:30:42.324+00:00,19,1,0,0,FORWARD,frontier path,0.06382,35.878,139,False,True,0.8774,False,296.88,0.867,False
2026-07-25T12:30:43.690+00:00,20,1,0,3,TURN_RIGHT,frontier path (about-face),0.09067,79.9,162,False,True,0.8684,False,358.544,0.869,False
2026-07-25T12:30:45.074+00:00,21,1,0,2,TURN_RIGHT,frontier path,0.10624,59.947,93,False,True,0.9077,False,85.587,0.873,False
2026-07-25T12:30:45.476+00:00,22,0,0,2,FORWARD,frontier path,0.06534,21.576,142,False,False,0.4239,False,119.859,0.853,False
2026-07-25T12:30:46.826+00:00,23,0,0,1,TURN_RIGHT,frontier path (about-face),0.12737,101.282,85,False,False,0.551,False,173.639,0.862,False
