timestamp,map_name,step,x,y,continuous_x,continuous_y,position_known,heading_known,pose_known,heading_index,heading_deg,action,reason,rl_shadow_enabled,rl_shadow_action,rl_shadow_agrees,rl_shadow_status,frame_sequence,requested_seconds,held_seconds,change_score,flow_dx_px,flow_dy_px,median_flow_px,flow_dispersion_px,flow_confidence,flow_inlier_ratio,tracked_points,flow_detected_points,flow_valid_tracks,flow_moving_points,flow_moving_ratio,flow_spatial_coverage,flow_occupied_regions,flow_translation_coherence,flow_expansion_coherence,flow_camera_model,motion_debug_path,motion_outcome,distance_cells,expected_flow_px,observed_motion_px,flow_residual_px,maximum_flow_residual_px,flow_validation_reason,odometry_integrated,collision,pang_visible,pang_score,teleport_suspected,fast_heading,fast_heading_confidence,fast_heading_uncertainty,fast_heading_stale,strict_heading,strict_heading_confidence,strict_heading_uncertainty,recovery_reason,recovery_requires_spawn_reset,stop_reason
2026-07-26T22:22:50.847+00:00,Tower AoE,1,0,1,-0.0202,1.0014,True,True,True,1,358.846,FORWARD,unknown neighbor,True,FORWARD,True,ok,1531,0.12,0.12019,0.02226,-4.693,10.494,12.039,5.498,0.928,0.563,183,289,254,183,0.72,0.917,11,0.918,0.502,translation,motion_debug\step_0001_forward_motion.json,moved,1.0016,14.564,12.039,2.525,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3784,False,358.846,0.909,1.269,False,358.846,0.891,1.269,,False,
2026-07-26T22:22:51.541+00:00,Tower AoE,2,0,2,-0.0404,2.0029,True,True,True,1,358.846,FORWARD,unknown neighbor,True,FORWARD,True,ok,1578,0.12,0.1202,0.02382,-4.973,10.63,12.063,4.831,0.919,0.509,169,281,246,169,0.687,0.833,10,0.906,0.527,translation,motion_debug\step_0002_forward_motion.json,moved,1.0017,14.292,12.063,2.229,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3784,False,358.846,0.909,1.269,False,358.846,0.891,1.269,,False,
2026-07-26T22:22:52.244+00:00,Tower AoE,3,0,3,-0.0607,3.0122,True,True,True,1,358.846,FORWARD,unknown neighbor,True,FORWARD,True,ok,1622,0.12,0.12115,0.02622,-5.874,14.286,16.338,8.17,0.917,0.458,166,299,243,166,0.683,0.917,11,0.896,0.624,translation,motion_debug\step_0003_forward_motion.json,moved,1.0095,14.051,16.338,2.287,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3858,False,358.846,0.909,1.269,False,358.846,0.891,1.269,,False,
2026-07-26T22:22:52.872+00:00,Tower AoE,4,0,4,-0.0809,4.0167,True,True,True,1,358.846,FORWARD,unknown neighbor,True,FORWARD,True,ok,1668,0.12,0.12056,0.02718,-3.506,12.261,13.84,6.425,0.925,0.478,161,262,219,161,0.735,0.75,9,0.87,0.618,translation,,moved,1.0047,14.188,13.84,0.348,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3784,False,358.846,0.909,1.269,False,358.846,0.891,1.269,,False,
2026-07-26T22:22:53.505+00:00,Tower AoE,5,0,5,-0.1012,5.0223,True,True,True,1,358.846,FORWARD,unknown neighbor,True,FORWARD,True,ok,1713,0.12,0.1207,0.02783,-3.158,12.751,15.115,6.486,0.942,0.422,204,299,251,204,0.813,1.0,12,0.874,0.677,translation,,moved,1.0058,14.151,15.115,0.965,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3939,False,358.846,0.909,1.269,False,358.846,0.891,1.269,,False,
2026-07-26T22:22:54.153+00:00,Tower AoE,6,0,6,-0.1214,6.0256,True,True,True,1,358.846,FORWARD,unknown neighbor,True,FORWARD,True,ok,1756,0.12,0.12041,0.02864,-4.072,12.634,17.465,12.675,0.948,0.351,205,297,240,205,0.854,1.0,12,0.844,0.703,translation,,moved,1.0034,14.208,17.465,3.257,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3785,False,358.846,0.909,1.269,False,358.846,0.891,1.269,,False,
2026-07-26T22:22:54.791+00:00,Tower AoE,7,0,7,-0.1419,7.0428,True,True,True,1,358.846,FORWARD,unknown neighbor,True,FORWARD,True,ok,1797,0.12,0.1221,0.03166,-3.614,13.125,17.079,11.427,0.94,0.384,172,273,209,172,0.823,0.833,10,0.838,0.72,translation,,moved,1.0175,14.404,17.079,2.675,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3784,False,358.846,0.909,1.269,False,358.846,0.891,1.269,,False,
2026-07-26T22:22:55.420+00:00,Tower AoE,8,0,8,-0.1621,8.0438,True,True,True,1,358.846,FORWARD,unknown neighbor,True,FORWARD,True,ok,1839,0.12,0.12014,0.02948,1.566,11.704,13.151,7.75,0.928,0.476,147,260,192,147,0.766,0.75,9,0.843,0.65,translation,,moved,1.0011,14.564,13.151,1.414,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3784,False,358.846,0.909,1.269,False,358.846,0.891,1.269,,False,
2026-07-26T22:22:56.053+00:00,Tower AoE,9,0,9,-0.1823,9.0511,True,True,True,1,358.846,FORWARD,unknown neighbor,True,FORWARD,True,ok,1880,0.12,0.1209,0.02659,-0.041,9.506,11.394,3.399,0.916,0.585,142,232,195,142,0.728,0.75,9,0.81,0.573,translation,,moved,1.0075,14.412,11.394,3.017,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3785,False,358.846,0.909,1.269,False,358.846,0.891,1.269,,False,
2026-07-26T22:22:56.688+00:00,Tower AoE,10,0,10,-0.2026,10.0557,True,True,True,1,358.846,FORWARD,unknown neighbor,True,FORWARD,True,ok,1918,0.12,0.12057,0.02631,2.351,11.303,12.811,5.48,0.915,0.633,158,246,220,158,0.718,0.917,11,0.821,0.641,translation,,moved,1.0048,14.086,12.811,1.275,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3807,False,358.846,0.909,1.269,False,358.846,0.891,1.269,,False,
