path	role	runtime_loaded	statically_reachable	tracked_status	working_sha256	HEAD_blob_sha256	differs_from_HEAD	guard_hashed	line_ending_mode	reason_required
flyff_farming_simulator/evaluations/router_mix_final_pool_820000000_manifest.json	resource	yes	no	tracked	da8138b0873993d6283bdbab54365a7fa1f41165d71456682e39728a39c8b42d	da8138b0873993d6283bdbab54365a7fa1f41165d71456682e39728a39c8b42d	no	yes	crlf	non-module resource opened during the run
flyff_farming_simulator/evaluations/router_v2_historical_reproduction_snapshot_20260815.json	resource	yes	no	tracked	aebfab4d47e2456fd22d59941246211c1d5ffcd794d287fb7026e2d1480e41ef	c57b092d1ca4000fe850abdcff6787f993e8db1e092408718694b635239878c8	eol_only	no	crlf	non-module resource opened during the run
flyff_farming_simulator/farming/__init__.py	module	yes	no	tracked	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	no	no	none	python module in 820M execution closure
flyff_farming_simulator/farming/actions.py	module	yes	yes	tracked	9a5b822a6274cf6f4327353371e4b07e2d595e4da57e66613a435f2662b94298	9a5b822a6274cf6f4327353371e4b07e2d595e4da57e66613a435f2662b94298	no	no	lf	python module in 820M execution closure
flyff_farming_simulator/farming/map_features.py	module	yes	yes	tracked	538529ae08db7a4c777d4108604528199cee542ae9ddac33685a72ce154d3352	538529ae08db7a4c777d4108604528199cee542ae9ddac33685a72ce154d3352	no	no	lf	python module in 820M execution closure
flyff_farming_simulator/farming/map_masks.py	module	yes	yes	tracked	c91ccd8bd0156b12447b16cc26ea64a70794b9ac4a1a1a91bb1240fdeaf21b4e	c91ccd8bd0156b12447b16cc26ea64a70794b9ac4a1a1a91bb1240fdeaf21b4e	no	no	lf	python module in 820M execution closure
flyff_farming_simulator/farming/observation.py	module	yes	yes	tracked	033fc90490a488561b7db5d70156cc46cc387eabb95e336ca49ad8774c789c2b	033fc90490a488561b7db5d70156cc46cc387eabb95e336ca49ad8774c789c2b	no	no	lf	python module in 820M execution closure
flyff_farming_simulator/farming/session.py	module	yes	yes	tracked	2dcd4de0067a0fc61dfece951fb27dea8a2c5327308645ac9d7762cf9c97bb9f	2dcd4de0067a0fc61dfece951fb27dea8a2c5327308645ac9d7762cf9c97bb9f	no	no	lf	python module in 820M execution closure
flyff_farming_simulator/models/generalized_waypoint_both_seed2_0051200.zip	resource	yes	no	tracked	87bd8d3e0be88b7f243ad6c9b35ff6d3f8bde1f37b35334febf936ec115cda50	87bd8d3e0be88b7f243ad6c9b35ff6d3f8bde1f37b35334febf936ec115cda50	no	yes	binary	non-module resource opened during the run
flyff_farming_simulator/scratchpad_beginner_navigation_mix_pools.py	module	yes	yes	tracked	dd9a4630c30059ce809ed8320c24b095eb9b3e4fe99b76a4e271a2404be84156	dd9a4630c30059ce809ed8320c24b095eb9b3e4fe99b76a4e271a2404be84156	no	yes	lf	python module in 820M execution closure; python source opened at runtime
flyff_farming_simulator/scratchpad_beginner_routing_randomized_walls.py	module	yes	yes	tracked	8de44d91eb61e736046eb08922d01981678f4178adc62536078bdbac6f446ea8	8de44d91eb61e736046eb08922d01981678f4178adc62536078bdbac6f446ea8	no	no	lf	python module in 820M execution closure
flyff_farming_simulator/scratchpad_beginner_routing_two_wall_s_route.py	module	yes	yes	tracked	cb523648b4cfdcdb8f87eb4eaebecd0f4781e669cda6c00196c061db534b0209	8bef73a411efbff25138f69e62e51ca300865ec43f4d846aad48d34c63e5a4ad	eol_only	no	crlf	python module in 820M execution closure
