category	path	sha256	reason
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0010240.zip	b1f23cd2211265950366ac3673721a468c04330569c70ebbcf8e7d45b356a982	accepted plan: frozen generalized-waypoint seed2 lineage (all declared steps)
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0020480.zip	40c77ab44b0b3019803376a2a310ef228690773ad4306dc3fa5cb7b3d6ed86c8	accepted plan: frozen generalized-waypoint seed2 lineage (all declared steps)
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0030720.zip	3cf06930e91313189c23432a251d45defc88bde99213fafb40ea63f25570390e	accepted plan: frozen generalized-waypoint seed2 lineage (all declared steps)
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0040960.zip	ef88f491d7a2b9bc17b984a0cd3e07a891241c4ab8f957a31d0d954d0f7a0db8	accepted plan: frozen generalized-waypoint seed2 lineage (all declared steps)
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0051200.zip	87bd8d3e0be88b7f243ad6c9b35ff6d3f8bde1f37b35334febf936ec115cda50	accepted plan: frozen generalized-waypoint seed2 lineage (all declared steps)
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0061440.zip	71007cd8f6d48d3ebe948693723be589238667886349a425b3ca4dd3744d8fda	accepted plan: frozen generalized-waypoint seed2 lineage (all declared steps)
split_branch_pilot	flyff_farming_simulator/models/split_branch_pilot.zip	b39a20a8bd06befcac40c2bbbf64693d818498bb9aad09ee2484042290c4db24	accepted plan: all five split_branch_pilot* checkpoints
split_branch_pilot	flyff_farming_simulator/models/split_branch_pilot_10000.zip	bbca9e6b89897d00d26e7f211a9881e10208d75073e1d4aa4316008f43178862	accepted plan: all five split_branch_pilot* checkpoints
split_branch_pilot	flyff_farming_simulator/models/split_branch_pilot_15000.zip	9cee9563874853c774750dc40dbb02d82ab23012ce7ae398389844f1df6faf6a	accepted plan: all five split_branch_pilot* checkpoints
split_branch_pilot	flyff_farming_simulator/models/split_branch_pilot_5000.zip	4821a288afdb7eebc8e4ab818eb6a983704a926107c0e9060f67726e56803070	accepted plan: all five split_branch_pilot* checkpoints
split_branch_pilot	flyff_farming_simulator/models/split_branch_pilot_teacher.zip	b4742049725be4f9e6512aedbe770ff0bfc26d5fc6cc75cbaf312d989847eb51	accepted plan: all five split_branch_pilot* checkpoints
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_010k.zip	8b6521cab20b642f8f8ed6e1c4c0aad50cafffec77b9fec6d52177c5a4f0fd3f	accepted plan: one canonical_advanced_ppo_*; deterministic rule = lexicographically first unselected
quarantine	flyff_farming_simulator/models/_quarantine/canonical_basic_bootstrap_BROKEN_event_head_never_learned_eva_20260808.zip	d090da4f506655d86483c8bad1f062647a63dfe7c681ab3021fb0a0f03e6bb80	accepted plan: one _quarantine checkpoint; deterministic rule = lexicographically first unselected
era_925	flyff_farming_simulator/models/_quarantine/canonical_basic_bootstrap_BROKEN_steering_and_event_collapse_20260807.zip	a584ff711283d3ecd8313b0aba30b55a676926beffe5245a9613640210b89ffb	accepted plan: one 925-era checkpoint; deterministic rule = lexicographically first unselected
era_928	flyff_farming_simulator/models/generalized_waypoint_both_seed0_0010240.zip	7f652416c4d4f03f185de1572e875dd5877f23718673c5182fac144945199a99	accepted plan: one 928-era checkpoint; deterministic rule = lexicographically first unselected
foreground_bot_models	foreground_vision_bot/models/farming/native_strategy_map_context_ppo.zip	06435efe0f309286b49f4310d01b5a95fbef1d63bea211dc1506487e6b1ab4a2	accepted plan: both foreground-bot models (contract-validation failure is an expected, valid outcome)
foreground_bot_models	foreground_vision_bot/models/farming/native_strategy_map_risk_ppo.zip	4e606ac59dd0dc6fef9b5d91100cda8a246e97aef084bc34b5f89a98a620617c	accepted plan: both foreground-bot models (contract-validation failure is an expected, valid outcome)
