path	category	referenced_by	action
flyff_farming_simulator/evaluations/_quarantine/canonical_beginner_graduation_report_PROVISIONAL_OLD_COLLISION_BAR_20260808.json	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/_quarantine/canonical_intermediate_graduation_report_PROVISIONAL_OLD_COLLISION_BAR_20260808.json	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/audit_selector_fallback_console.log	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/audit_selector_fallback_console_postpatch.log	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/beginner_routing_randomized_walls_eval.json	scientific_reference	flyff_farming_simulator/scratchpad_beginner_routing_randomized_walls.py	commit
flyff_farming_simulator/evaluations/beginner_routing_two_wall_s_route_eval.json	scientific_reference	flyff_farming_simulator/scratchpad_beginner_routing_two_wall_s_route.py	commit
flyff_farming_simulator/evaluations/beginner_routing_two_wall_s_route_eval_corrected_previous_steering.json	scientific_reference	flyff_farming_simulator/scratchpad_router_v2_guarded_development_validation.py;flyff_farming_simulator/scratchpad_router_v2_recompute_gate_from_artifact.py	commit
flyff_farming_simulator/evaluations/beginner_routing_two_wall_s_route_eval_postpatch.json	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/beginner_routing_two_wall_s_route_eval_pre_fix_previous_steering_bug.json	redundant	exact_sha256_duplicate_of:flyff_farming_simulator/evaluations/beginner_routing_two_wall_s_route_eval.json	manifest_only
flyff_farming_simulator/evaluations/bridge_check_postpatch_console.log	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/canonical_advanced_ppo_010k_post_rehearsal_heldout.json	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/canonical_advanced_ppo_010k_pre_rehearsal_heldout.json	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/canonical_advanced_ppo_020k_post_rehearsal_heldout.json	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/canonical_advanced_ppo_020k_pre_rehearsal_heldout.json	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/canonical_advanced_ppo_030k_post_rehearsal_heldout.json	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/canonical_advanced_ppo_030k_pre_rehearsal_heldout.json	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/canonical_advanced_ppo_040k_post_rehearsal_heldout.json	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/canonical_advanced_ppo_040k_pre_rehearsal_heldout.json	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/canonical_advanced_ppo_050k_post_rehearsal_heldout.json	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
flyff_farming_simulator/evaluations/canonical_advanced_ppo_050k_pre_rehearsal_heldout.json	generated_intermediate	generated_or_diagnostic_intermediate_without_tracked_basename_reference	manifest_only
