timestamp,step,x,y,continuous_x,continuous_y,position_known,heading_known,pose_known,heading_index,heading_deg,action,reason,frame_sequence,requested_seconds,held_seconds,change_score,flow_dx_px,flow_dy_px,median_flow_px,flow_dispersion_px,flow_confidence,flow_inlier_ratio,tracked_points,flow_detected_points,flow_valid_tracks,flow_moving_points,flow_moving_ratio,flow_spatial_coverage,flow_occupied_regions,flow_translation_coherence,flow_expansion_coherence,flow_camera_model,motion_debug_path,motion_outcome,distance_cells,expected_flow_px,observed_motion_px,flow_residual_px,maximum_flow_residual_px,flow_validation_reason,odometry_integrated,collision,pang_visible,pang_score,teleport_suspected,fast_heading,fast_heading_confidence,fast_heading_uncertainty,fast_heading_stale,strict_heading,strict_heading_confidence,strict_heading_uncertainty,stop_reason
2026-07-26T15:12:10.627+00:00,1,0,1,-0.0203,1.0062,True,True,True,1,358.846,FORWARD,unknown neighbor,1023,0.12,0.12077,0.02105,-0.937,7.513,11.557,7.567,0.933,0.44,175,219,211,175,0.829,0.833,10,0.74,0.777,mixed,motion_debug\step_0001_forward_motion.json,moved,1.0064,10.593,11.557,0.964,,distributed visual travel confirmed (mixed camera evidence),True,False,False,0.3958,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:12:11.324+00:00,2,0,2,-0.0405,2.0098,True,True,True,1,358.846,FORWARD,unknown neighbor,1069,0.12,0.12045,0.02278,1.231,9.309,13.834,9.95,0.937,0.475,181,229,216,181,0.838,0.833,10,0.726,0.787,mixed,motion_debug\step_0002_forward_motion.json,moved,1.0038,10.65,13.834,3.184,,distributed visual travel confirmed (mixed camera evidence),True,False,False,0.3858,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:12:12.031+00:00,3,0,3,-0.061,3.0292,True,True,True,1,358.846,FORWARD,unknown neighbor,1113,0.12,0.12235,0.0235,-3.558,5.555,8.977,7.321,0.938,0.411,190,247,220,190,0.864,0.917,11,0.757,0.735,mixed,motion_debug\step_0003_forward_motion.json,moved,1.0196,10.841,8.977,1.865,,distributed visual travel confirmed (mixed camera evidence),True,False,False,0.3879,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:12:12.657+00:00,4,0,4,-0.0812,4.0311,True,True,True,1,358.846,FORWARD,unknown neighbor,1158,0.12,0.12026,0.02597,-5.332,6.39,11.055,10.886,0.939,0.444,171,258,198,171,0.864,0.917,11,0.758,0.76,mixed,,moved,1.0022,10.64,11.055,0.415,,distributed visual travel confirmed (mixed camera evidence),True,False,False,0.3893,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:12:13.292+00:00,5,0,5,-0.1014,5.0334,True,True,True,1,358.846,FORWARD,unknown neighbor,1199,0.12,0.12029,0.02481,-4.504,6.409,11.488,11.98,0.947,0.436,156,226,182,156,0.857,0.833,10,0.831,0.75,translation,,moved,1.0024,10.665,11.488,0.823,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3927,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:12:13.946+00:00,6,0,6,-0.1216,6.0378,True,True,True,1,358.846,FORWARD,unknown neighbor,1239,0.12,0.12055,0.02825,-4.613,5.815,8.401,7.368,0.956,0.534,193,254,218,193,0.885,0.833,10,0.853,0.718,translation,,moved,1.0046,10.714,8.401,2.313,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3923,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:12:14.575+00:00,7,0,7,-0.142,7.0464,True,True,True,1,358.846,FORWARD,unknown neighbor,1277,0.12,0.12106,0.03003,-5.525,6.685,9.55,7.753,0.95,0.518,218,276,246,218,0.886,0.75,9,0.806,0.724,translation,,moved,1.0088,10.464,9.55,0.914,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3856,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:12:15.201+00:00,8,0,8,-0.1621,8.0485,True,True,True,1,358.846,FORWARD,unknown neighbor,1319,0.12,0.12028,0.02862,-1.027,5.694,8.079,5.976,0.947,0.615,205,266,228,205,0.899,0.75,9,0.761,0.702,mixed,,moved,1.0023,10.366,8.079,2.287,,distributed visual travel confirmed (mixed camera evidence),True,False,False,0.3857,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:12:15.825+00:00,9,0,9,-0.1823,9.0508,True,True,True,1,358.846,FORWARD,unknown neighbor,1359,0.12,0.1203,0.02727,-5.305,5.637,7.91,4.535,0.941,0.729,155,230,176,155,0.881,0.583,7,0.749,0.665,translation,,moved,1.0025,10.119,7.91,2.208,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3835,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:12:16.452+00:00,10,0,10,-0.2026,10.0573,True,True,True,1,358.846,FORWARD,unknown neighbor,1400,0.12,0.1208,0.02366,-6.022,5.638,8.707,4.752,0.936,0.76,154,203,176,154,0.875,0.583,7,0.718,0.692,mixed,,moved,1.0067,9.88,8.707,1.173,,distributed visual travel confirmed (mixed camera evidence),True,False,False,0.3863,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
